Datum;Naam;Plaats;Afstand;HM;Land;dagen;url
;Neumarkter Natur-Bike Marathon;Neumarkt-Steiermark;80;1570;O;;
;Salzkammergut MTB Trophy;Bad Goisern;119;3800;O;;
;Salzkammergut MTB Trophy ;Bad Goisern;210;7000;O;;
;Schladming MTB Grand Prix;Schladming;72;2700;O;;
;Sport Kaiser Eisenwurzen Marathon;Garsten;71;2170;O;;
;Stubalpen MTB Marathon   ;Maria Lankowitz;66;2300;O;;
;Voralpen MTB-Marathon;St. Veit/Gölsen;64;2000;O;;
;Weinsteinbike Wachau;Mühldorf;74;3500;O;;
;Wolfsberger Natur MTB;Wolfsberg;70;1450;O;;
;World Games of Mountainbike;Saalbach-Hinterglemm;80;3678;O;;
;Zillertal Bikechallenge;Fügen;203;10046;O;3;http://www.zillertal-bikechallenge.com/
30/01/2013;Transhajar;Oman;335;4650;Oman;4;http://www.transhajar.com/
;Montafon Marathon;Schruns;145;4400;O;;http://www.montafon-m3.at/
;Salzkammerguttrophy;Bad Goisern;208;7000;O;;http://www.salzkammergut-trophy.at/
30/06/2013;Transtirol Bikerallye;Archensee;285;9270;O / IT;5;
14/06/2013;La Lozerienne;Mende-Mende;103;1900;Pol;3;
;Sudety Bike Challenge;Duszniki Zdrój;400;12000;Polen;6;http://www.mtbchallenge.com/
5/05/2013;Transalgarve;Villa Real de Santo Antonio;426;9125;Port;5;http://www.transallgarve.com
;Transgharb;Faro;700;;Port;7;http://www.altimetria.pt
4/05/2013;Transportugal;Branganqa;1150;21000;Port;9;http://www.trans-portugal.com
8/03/2013;VeloAfrique;Dakar;550;;Senegal;10;http://www.veloafrique.be/
;Kosicky Bike Marathon;Kosicky;85;3000;Slo;;http://www.1kbm.sk
;Dema Horal Alto Marathon;Svit;104;3300;Slov;;http://www.horal.sk
24/02/2013;Adalucia Bike Race;Cordoba;410;12000;Spa;6;http://www.andaluciabikerace.com/
;Bike Marathon La Palma;Playa Del Aguila;80;;Spa;;http://www.bikelapalma.com/
6/04/2013;Open MTB Gran Canaria;Maspalomas-Gran Canaria;85;2350;Spa;;http://nyx.at/canary/
6/07/2013;Transpyr  ;Roses;820;20000;Spa;8;http://www.transpyr.com/es/
;Malevil Cup;Jablonne v podjestedi;102;2690;Tsj;;http://www.paklisport.cz/
;Trail Masters;Llanwrtyd Wells;220;;Wales;3;http://www.trailmasters.cc/
;Iron Bike Race;Einsiedeln;101;3600;Zwi;;http://www.iron-bike.ch
;O Tour Bike Challenge  UCI series;Alpnach;87;3300;Zwi;;
17/03/2013;The Cape Epic;Capetown;698;15900;Z Afr;8;http://www.cape-epic.com/
;Aletisch Bike Marathon ;Bettmeralp;91;4800;Zwi;;http://www.aletsch-bikemarathon.ch/
;Bikemarathon Lumnezia;Lumbrein;72;3200;Zwi;;http://www.bikemarathon-lumnezia.ch/
;Eiger Bike-Challenge;Grindelwald;88;3900;Zwi;;http://www.eigerbike.ch/
;EKS Goldenrace;Schleitheim-Schaffhausen;83;2600;Zwi;;http://www.goldenrace.ch/
;Elsa Bike Trophy;Estavayer-Le-Lac;60;1450;Zwi;;http://www.elsabiketrophy.ch/
;Monte Generoso Marathon;Mendrisio;94;3500;Zwi;;http://www.momobike.ch/
31/08/2013;Nationalpark Bike Marathon;Scuol;138;4010;Zwi;;http://www.bike-marathon.com/
18/08/2013;Nutrixxion MTB Rally;Rorschach;400;12900;Zwi-Oost-Ita;6;http://www.mountain-rally.ch
23/08/2013;Grand Raid Cristalp;Verbier;145;5800;Zwi;;http://www.grand-raid-cristalp.ch/
31/08/2013;NationalPark Bikemarathon;Scuol;138;4010;Zwi;;http://www.bike-marathon.com/
21/07/2013;Swiss Bike Masters;Kubis;105;4400;Zwi;;www.eurobike.ch
